ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE
10339,40,68.92,4,2756.8,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles
10361,26,51.15,8,1329.9,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles
10374,39,100,5,5288.01,2/2/2005 0:00,Shipped,1,2,2005,Motorcycles
10388,50,44.51,5,2225.5,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles
10402,45,100,1,5833.8,4/7/2005 0:00,Shipped,2,4,2005,Motorcycles
10417,45,100,5,5887.35,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles
10107,27,100,4,6065.55,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles
10120,46,100,2,9264.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles
10134,31,100,4,7023.98,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles
10145,33,100,8,5176.38,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles
10159,22,100,16,4132.7,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles
10168,20,100,3,4183,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles
10180,41,100,11,8892.9,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles
10188,45,100,3,8714.7,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles
10201,49,100,4,8065.89,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles
10210,34,100,1,6123.4,1/12/2004 0:00,Shipped,1,1,2004,Motorcycles
10223,49,100,3,9774.03,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles
10237,39,100,9,7023.9,4/5/2004 0:00,Shipped,2,4,2004,Motorcycles
10251,43,100,4,7078.23,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles
10263,41,100,4,8336.94,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles
10275,36,100,3,6901.92,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles
10285,27,100,8,5438.07,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles
10299,29,100,11,6683.34,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles
10308,20,100,1,4570.4,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles
10318,37,100,3,7667.14,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles
10329,26,100,3,5868.2,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles
10339,39,76.67,3,2990.13,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles
10362,22,100,4,3664.1,1/5/2005 0:00,Shipped,1,1,2005,Motorcycles
10374,22,100,1,3834.38,2/2/2005 0:00,Shipped,1,2,2005,Motorcycles
10388,21,86.77,7,1822.17,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles
10403,66,100,9,11886.6,4/8/2005 0:00,Shipped,2,4,2005,Motorcycles
10417,56,100,4,9218.16,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles
10105,50,100,2,7208,2/11/2003 0:00,Shipped,1,2,2003,Classic Cars
10119,46,100,11,5004.8,4/28/2003 0:00,Shipped,2,4,2003,Classic Cars
10129,33,100,2,4398.24,6/12/2003 0:00,Shipped,2,6,2003,Classic Cars
10143,49,100,15,5597.76,8/10/2003 0:00,Shipped,3,8,2003,Classic Cars
10155,32,100,13,4526.08,10/6/2003 0:00,Shipped,4,10,2003,Classic Cars
10167,44,100,9,5924.16,10/23/2003 0:00,Cancelled,4,10,2003,Classic Cars
10178,24,100,12,3492.48,11/8/2003 0:00,Shipped,4,11,2003,Classic Cars
10186,26,100,9,3854.24,11/14/2003 0:00,Shipped,4,11,2003,Classic Cars
10197,45,100,6,5324.4,11/26/2003 0:00,Shipped,4,11,2003,Classic Cars
10209,39,100,8,5197.92,1/9/2004 0:00,Shipped,1,1,2004,Classic Cars
10222,49,100,12,5997.6,2/19/2004 0:00,Shipped,1,2,2004,Classic Cars
10248,20,100,3,2910.4,5/7/2004 0:00,Cancelled,2,5,2004,Classic Cars
10261,27,100,1,3378.24,6/17/2004 0:00,Shipped,2,6,2004,Classic Cars
10273,30,100,4,3508.8,7/21/2004 0:00,Shipped,3,7,2004,Classic Cars
10283,25,100,6,2992,8/20/2004 0:00,Shipped,3,8,2004,Classic Cars
10295,24,100,1,3427.2,9/10/2004 0:00,Shipped,3,9,2004,Classic Cars
10307,22,100,9,2692.8,10/14/2004 0:00,Shipped,4,10,2004,Classic Cars
10316,33,100,17,4128.96,11/1/2004 0:00,Shipped,4,11,2004,Classic Cars
10325,47,64.93,6,3051.71,11/5/2004 0:00,Shipped,4,11,2004,Classic Cars
10337,25,48.05,8,1201.25,11/21/2004 0:00,Shipped,4,11,2004,Classic Cars
10350,26,75.47,5,1962.22,12/2/2004 0:00,Shipped,4,12,2004,Classic Cars
10359,48,54.68,6,2624.64,12/15/2004 0:00,Shipped,4,12,2004,Classic Cars
10373,39,100,3,4046.25,1/31/2005 0:00,Shipped,1,1,2005,Classic Cars
10384,34,100,4,4846.7,2/23/2005 0:00,Shipped,1,2,2005,Classic Cars
10395,32,100,2,3370.56,3/17/2005 0:00,Shipped,1,3,2005,Classic Cars
10400,64,100,9,9661.44,4/1/2005 0:00,Shipped,2,4,2005,Classic Cars
10414,19,100,3,2764.88,5/6/2005 0:00,On Hold,2,5,2005,Classic Cars
10103,42,100,4,5398.26,1/29/2003 0:00,Shipped,1,1,2003,Classic Cars
10114,31,100,8,4305.28,4/1/2003 0:00,Shipped,2,4,2003,Classic Cars
10126,22,100,4,3347.74,5/28/2003 0:00,Shipped,2,5,2003,Classic Cars
10140,26,100,4,3188.12,7/24/2003 0:00,Shipped,3,7,2003,Classic Cars
10150,20,100,1,3191.2,9/19/2003 0:00,Shipped,3,9,2003,Classic Cars
10164,21,100,2,3536.82,10/21/2003 0:00,Resolved,4,10,2003,Classic Cars
10175,33,100,9,5362.83,11/6/2003 0:00,Shipped,4,11,2003,Classic Cars
10183,28,100,1,3433.36,11/13/2003 0:00,Shipped,4,11,2003,Classic Cars
10194,26,100,4,4263.74,11/25/2003 0:00,Shipped,4,11,2003,Classic Cars
10207,31,100,15,4076.19,12/9/2003 0:00,Shipped,4,12,2003,Classic Cars
10217,48,100,4,7020.48,2/4/2004 0:00,Shipped,1,2,2004,Classic Cars
10229,50,100,9,6426.5,3/11/2004 0:00,Shipped,1,3,2004,Classic Cars
10245,28,100,2,4591.72,5/4/2004 0:00,Shipped,2,5,2004,Classic Cars
10259,26,100,12,4033.38,6/15/2004 0:00,Shipped,2,6,2004,Classic Cars
10270,32,100,2,4302.08,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars
10281,44,100,9,7020.64,8/19/2004 0:00,Shipped,3,8,2004,Classic Cars
10291,30,100,4,3855.9,9/8/2004 0:00,Shipped,3,9,2004,Classic Cars
10305,38,100,13,6680.78,10/13/2004 0:00,Shipped,4,10,2004,Classic Cars
10313,40,100,7,6678,10/22/2004 0:00,Shipped,4,10,2004,Classic Cars
10322,46,61.99,8,2851.54,11/4/2004 0:00,Shipped,4,11,2004,Classic Cars
10334,26,100,2,3188.12,11/19/2004 0:00,On Hold,4,11,2004,Classic Cars
10347,27,100,2,4428,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars
10357,43,100,9,5780.92,12/10/2004 0:00,Shipped,4,12,2004,Classic Cars
10370,35,65.63,4,2297.05,1/20/2005 0:00,Shipped,1,1,2005,Classic Cars
10381,37,100,6,6231.54,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars
10391,37,46.9,7,1735.3,3/9/2005 0:00,Shipped,1,3,2005,Classic Cars
10411,27,100,2,4427.73,5/1/2005 0:00,Shipped,2,5,2005,Classic Cars
10425,38,100,12,5894.94,5/31/2005 0:00,In Process,2,5,2005,Classic Cars
10108,33,100,6,5265.15,3/3/2003 0:00,Shipped,1,3,2003,Classic Cars
10122,42,100,10,7599.9,5/8/2003 0:00,Shipped,2,5,2003,Classic Cars
10135,42,100,7,8008.56,7/2/2003 0:00,Shipped,3,7,2003,Classic Cars
10147,48,100,7,9245.76,9/5/2003 0:00,Shipped,3,9,2003,Classic Cars
10159,41,100,2,8296.35,10/10/2003 0:00,Shipped,4,10,2003,Classic Cars
10169,30,100,2,5019.9,11/4/2003 0:00,Shipped,4,11,2003,Classic Cars
10181,27,100,14,5411.07,11/12/2003 0:00,Shipped,4,11,2003,Classic Cars
10191,21,100,3,3840.9,11/20/2003 0:00,Shipped,4,11,2003,Classic Cars
10203,20,100,8,3930.4,12/2/2003 0:00,Shipped,4,12,2003,Classic Cars
10211,41,100,2,7498.9,1/15/2004 0:00,Shipped,1,1,2004,Classic Cars
10225,27,100,9,4517.91,2/22/2004 0:00,Shipped,1,2,2004,Classic Cars
10238,28,100,3,5774.72,4/9/2004 0:00,Shipped,2,4,2004,Classic Cars
10253,24,100,13,3922.56,6/1/2004 0:00,Cancelled,2,6,2004,Classic Cars
10266,44,100,14,9160.36,7/6/2004 0:00,Shipped,3,7,2004,Classic Cars
10276,50,100,3,9631,8/2/2004 0:00,Shipped,3,8,2004,Classic Cars
10287,21,100,12,3432.24,8/30/2004 0:00,Shipped,3,8,2004,Classic Cars
10300,33,100,5,5521.89,10/4/2003 0:00,Shipped,4,10,2003,Classic Cars
10310,33,100,10,6934.62,10/16/2004 0:00,Shipped,4,10,2004,Classic Cars
10320,31,100,3,6876.11,11/3/2004 0:00,Shipped,4,11,2004,Classic Cars
10329,41,71.47,5,2930.27,11/15/2004 0:00,Shipped,4,11,2004,Classic Cars
10341,45,79.65,2,3584.25,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars
10363,33,85.39,3,2817.87,1/6/2005 0:00,Shipped,1,1,2005,Classic Cars
10375,45,76,7,3420,2/3/2005 0:00,Shipped,1,2,2005,Classic Cars
10389,26,99.04,4,2575.04,3/3/2005 0:00,Shipped,1,3,2005,Classic Cars
10419,12,100,13,1961.28,5/17/2005 0:00,Shipped,2,5,2005,Classic Cars
10105,41,100,15,8690.36,2/11/2003 0:00,Shipped,1,2,2003,Classic Cars
10117,33,100,9,6034.38,4/16/2003 0:00,Shipped,2,4,2003,Classic Cars
10127,46,100,2,11279.2,6/3/2003 0:00,Shipped,2,6,2003,Classic Cars
10142,33,100,12,8023.29,8/8/2003 0:00,Shipped,3,8,2003,Classic Cars
10153,20,100,11,4904,9/28/2003 0:00,Shipped,3,9,2003,Classic Cars
10165,44,100,3,8594.52,10/22/2003 0:00,Shipped,4,10,2003,Classic Cars
10176,33,100,2,7474.5,11/6/2003 0:00,Shipped,4,11,2003,Classic Cars
10185,21,100,13,3883.74,11/14/2003 0:00,Shipped,4,11,2003,Classic Cars
10196,47,100,5,8887.7,11/26/2003 0:00,Shipped,4,11,2003,Classic Cars
10208,46,100,13,8602.92,1/2/2004 0:00,Shipped,1,1,2004,Classic Cars
10220,32,100,2,7181.44,2/12/2004 0:00,Shipped,1,2,2004,Classic Cars
10231,42,100,2,8378.58,3/19/2004 0:00,Shipped,1,3,2004,Classic Cars
10247,44,100,2,10606.2,5/5/2004 0:00,Shipped,2,5,2004,Classic Cars
10272,35,100,2,5818.4,7/20/2004 0:00,Shipped,3,7,2004,Classic Cars
10282,41,100,5,7071.27,8/20/2004 0:00,Shipped,3,8,2004,Classic Cars
10293,46,100,8,8411.56,9/9/2004 0:00,Shipped,3,9,2004,Classic Cars
10306,31,100,13,6570.76,10/14/2004 0:00,Shipped,4,10,2004,Classic Cars
10314,38,100,5,7975.44,10/22/2004 0:00,Shipped,4,10,2004,Classic Cars
10325,42,64,8,2688,11/5/2004 0:00,Shipped,4,11,2004,Classic Cars
10336,33,57.22,10,1888.26,11/20/2004 0:00,Shipped,4,11,2004,Classic Cars
10348,48,52.36,8,2513.28,11/1/2004 0:00,Shipped,4,11,2004,Classic Cars
10359,42,100,8,4764.48,12/15/2004 0:00,Shipped,4,12,2004,Classic Cars
10371,32,100,6,3560.64,1/23/2005 0:00,Shipped,1,1,2005,Classic Cars
10382,34,100,10,3823.64,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars
10395,33,69.12,1,2280.96,3/17/2005 0:00,Shipped,1,3,2005,Classic Cars
10413,36,100,2,8677.8,5/5/2005 0:00,Shipped,2,5,2005,Classic Cars
10103,27,100,8,3394.98,1/29/2003 0:00,Shipped,1,1,2003,Trucks and Buses
10113,21,100,2,3415.44,3/26/2003 0:00,Shipped,1,3,2003,Trucks and Buses
10126,21,100,8,2439.57,5/28/2003 0:00,Shipped,2,5,2003,Trucks and Buses
10140,38,100,8,4829.8,7/24/2003 0:00,Shipped,3,7,2003,Trucks and Buses
10150,30,100,5,4100.1,9/19/2003 0:00,Shipped,3,9,2003,Trucks and Buses
10164,49,100,6,6563.06,10/21/2003 0:00,Resolved,4,10,2003,Trucks and Buses
10174,43,100,1,6817.22,11/6/2003 0:00,Shipped,4,11,2003,Trucks and Buses
10183,41,100,5,6163.94,11/13/2003 0:00,Shipped,4,11,2003,Trucks and Buses
10194,38,100,8,4933.92,11/25/2003 0:00,Shipped,4,11,2003,Trucks and Buses
10206,28,100,3,4056.36,12/5/2003 0:00,Shipped,4,12,2003,Trucks and Buses
10216,43,100,1,5759.42,2/2/2004 0:00,Shipped,1,2,2004,Trucks and Buses
10229,25,100,13,3451,3/11/2004 0:00,Shipped,1,3,2004,Trucks and Buses
10245,38,100,6,5920.4,5/4/2004 0:00,Shipped,2,5,2004,Trucks and Buses
10258,41,100,3,6668.24,6/15/2004 0:00,Shipped,2,6,2004,Trucks and Buses
10270,28,100,6,4094.72,7/19/2004 0:00,Shipped,3,7,2004,Trucks and Buses
10281,25,100,13,2938.5,8/19/2004 0:00,Shipped,3,8,2004,Trucks and Buses
10291,41,100,8,6387.8,9/8/2004 0:00,Shipped,3,9,2004,Trucks and Buses
10304,39,100,3,6396,10/11/2004 0:00,Shipped,4,10,2004,Trucks and Buses
10313,21,100,11,2669.1,10/22/2004 0:00,Shipped,4,10,2004,Trucks and Buses
10322,27,100,9,4784.13,11/4/2004 0:00,Shipped,4,11,2004,Trucks and Buses
10333,33,99.21,6,3273.93,11/18/2004 0:00,Shipped,4,11,2004,Trucks and Buses
10347,29,100,3,3586.43,11/29/2004 0:00,Shipped,4,11,2004,Trucks and Buses
10357,49,100,8,5960.36,12/10/2004 0:00,Shipped,4,12,2004,Trucks and Buses
10370,49,100,8,8470.14,1/20/2005 0:00,Shipped,1,1,2005,Trucks and Buses
10381,20,100,1,2952,2/17/2005 0:00,Shipped,1,2,2005,Trucks and Buses
10391,39,63.2,9,2464.8,3/9/2005 0:00,Shipped,1,3,2005,Trucks and Buses
10411,40,100,6,6232,5/1/2005 0:00,Shipped,2,5,2005,Trucks and Buses
10424,49,100,3,7969.36,5/31/2005 0:00,In Process,2,5,2005,Trucks and Buses
10107,21,100,1,3036.6,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles
10121,50,100,4,8284,5/7/2003 0:00,Shipped,2,5,2003,Motorcycles
10134,20,100,1,2711.2,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles
10145,49,100,5,8339.8,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles
10159,38,100,13,6238.84,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles
10169,35,100,13,4639.25,11/4/2003 0:00,Shipped,4,11,2003,Motorcycles
10180,40,100,8,6747.6,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles
10189,28,100,1,4512.48,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles
10201,25,100,1,4029,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles
10211,36,100,13,4771.8,1/15/2004 0:00,Shipped,1,1,2004,Motorcycles
10224,43,100,6,6087.94,2/21/2004 0:00,Shipped,1,2,2004,Motorcycles
10237,32,100,6,4193.28,4/5/2004 0:00,Shipped,2,4,2004,Motorcycles
10251,46,100,1,7552.28,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles
10263,48,100,1,6434.4,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles
10276,43,100,14,5181.5,8/2/2004 0:00,Shipped,3,8,2004,Motorcycles
10285,49,100,5,6863.92,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles
10299,24,100,8,4157.04,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles
10309,26,100,4,4660.24,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles
10319,30,100,9,4111.8,11/3/2004 0:00,Shipped,4,11,2004,Motorcycles
10329,24,100,6,3542.64,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles
10341,55,100,8,8118.55,11/24/2004 0:00,Shipped,4,11,2004,Motorcycles
10362,22,100,1,3877.06,1/5/2005 0:00,Shipped,1,1,2005,Motorcycles
10375,49,78.92,13,3867.08,2/3/2005 0:00,Shipped,1,2,2005,Motorcycles
10388,44,100,6,5951.44,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles
10403,66,100,6,8648.64,4/8/2005 0:00,Shipped,2,4,2005,Motorcycles
10417,21,100,1,3447.78,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles
10104,34,100,1,5958.5,1/31/2003 0:00,Shipped,1,1,2003,Classic Cars
10117,43,100,10,5911.64,4/16/2003 0:00,Shipped,2,4,2003,Classic Cars
10127,46,100,3,7366.44,6/3/2003 0:00,Shipped,2,6,2003,Classic Cars
10142,33,100,13,4985.64,8/8/2003 0:00,Shipped,3,8,2003,Classic Cars
10153,42,100,12,5393.64,9/28/2003 0:00,Shipped,3,9,2003,Classic Cars
10165,34,100,4,4880.02,10/22/2003 0:00,Shipped,4,10,2003,Classic Cars
10176,47,100,3,8378.69,11/6/2003 0:00,Shipped,4,11,2003,Classic Cars
10185,33,100,14,4038.21,11/14/2003 0:00,Shipped,4,11,2003,Classic Cars
10196,24,100,6,3807.12,11/26/2003 0:00,Shipped,4,11,2003,Classic Cars
10208,26,100,14,3142.36,1/2/2004 0:00,Shipped,1,1,2004,Classic Cars
10220,30,100,3,4713.6,2/12/2004 0:00,Shipped,1,2,2004,Classic Cars
10230,43,100,1,7016.31,3/15/2004 0:00,Shipped,1,3,2004,Classic Cars
10247,25,100,3,4381.25,5/5/2004 0:00,Shipped,2,5,2004,Classic Cars
10272,27,100,3,4283.01,7/20/2004 0:00,Shipped,3,7,2004,Classic Cars
10282,27,100,6,4364.82,8/20/2004 0:00,Shipped,3,8,2004,Classic Cars
10293,24,100,9,4242.24,9/9/2004 0:00,Shipped,3,9,2004,Classic Cars
10306,34,100,14,4982.7,10/14/2004 0:00,Shipped,4,10,2004,Classic Cars
10314,46,100,6,6393.54,10/22/2004 0:00,Shipped,4,10,2004,Classic Cars
10324,27,54.33,1,1466.91,11/5/2004 0:00,Shipped,4,11,2004,Classic Cars
10336,33,100,11,4059.33,11/20/2004 0:00,Shipped,4,11,2004,Classic Cars
10348,47,100,4,4801.52,11/1/2004 0:00,Shipped,4,11,2004,Classic Cars
10358,49,55.34,5,2711.66,12/10/2004 0:00,Shipped,4,12,2004,Classic Cars
10372,40,100,4,5862,1/26/2005 0:00,Shipped,1,1,2005,Classic Cars
10382,37,100,11,4071.85,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars
10413,47,100,3,8236.75,5/5/2005 0:00,Shipped,2,5,2005,Classic Cars
10108,45,100,4,6130.35,3/3/2003 0:00,Shipped,1,3,2003,Classic Cars
10122,37,99.82,8,3693.34,5/8/2003 0:00,Shipped,2,5,2003,Classic Cars
10135,48,100,5,6031.68,7/2/2003 0:00,Shipped,3,7,2003,Classic Cars
10147,31,100,5,3494.94,9/5/2003 0:00,Shipped,3,9,2003,Classic Cars
10160,46,100,6,5294.14,10/11/2003 0:00,Shipped,4,10,2003,Classic Cars
10170,47,100,4,5464.69,11/4/2003 0:00,Shipped,4,11,2003,Classic Cars
10181,28,100,12,2860.76,11/12/2003 0:00,Shipped,4,11,2003,Classic Cars
10191,40,100,1,5590,11/20/2003 0:00,Shipped,4,11,2003,Classic Cars
